
REM CLNr    Gerätekennung             AnzKategorie    Bezeichnung             Kommentar                           RO   Text0                    Text1               MaskCSV

1;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL1"_____________;	"Coil 1"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
176;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL176"___________;	"Coil 176"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
177;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL177"___________;	"Coil 177"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
178;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL178"___________;	"Coil 178"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
179;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL179"___________;	"Coil 179"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
180;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL180"___________;	"Coil 180"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
181;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL181"___________;	"Coil 181"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
182;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL182"___________;	"Coil 182"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
183;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL183"___________;	"Coil 183"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
184;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL184"___________;	"Coil 184"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
185;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL185"___________;	"Coil 185"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
186;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL186"___________;	"Coil 186"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
187;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL187"___________;	"Coil 187"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
188;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL188"___________;	"Coil 188"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
189;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL189"___________;	"Coil 189"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
190;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL190"___________;	"Coil 190"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
191;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL191"___________;	"Coil 191"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
192;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL192"___________;	"Coil 192"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
193;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL193"___________;	"Coil 193"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
194;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL194"___________;	"Coil 194"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
195;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL195"___________;	"Coil 195"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
196;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL196"___________;	"Coil 196"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
197;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL197"___________;	"Coil 197"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
198;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL198"___________;	"Coil 198"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
199;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL199"___________;	"Coil 199"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
200;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL200"___________;	"Coil 200"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
10001;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10001"_________;	"Input 10001"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10002;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10002"_________;	"Input 10002"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10003;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10003"_________;	"Input 10003"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10004;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10004"_________;	"Input 10004"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10005;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10005"_________;	"Input 10005"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10006;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10006"_________;	"Input 10006"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10007;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10007"_________;	"Input 10007"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10008;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10008"_________;	"Input 10008"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10009;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10009"_________;	"Input 10009"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10010;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10010"_________;	"Input 10010"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10011;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10011"_________;	"Input 10011"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10012;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10012"_________;	"Input 10012"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10013;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10013"_________;	"Input 10013"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10014;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10014"_________;	"Input 10014"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10015;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10015"_________;	"Input 10015"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10016;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10016"_________;	"Input 10016"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10017;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10017"_________;	"Input 10017"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10018;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10018"_________;	"Input 10018"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10019;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10019"_________;	"Input 10019"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10020;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10020"_________;	"Input 10020"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10021;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10021"_________;	"Input 10021"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10022;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10022"_________;	"Input 10022"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10023;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10023"_________;	"Input 10023"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10024;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10024"_________;	"Input 10024"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10025;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10025"_________;	"Input 10025"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10026;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10026"_________;	"Input 10026"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10027;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10027"_________;	"Input 10027"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10028;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10028"_________;	"Input 10028"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10029;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10029"_________;	"Input 10029"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10030;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10030"_________;	"Input 10030"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10031;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10031"_________;	"Input 10031"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10032;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10032"_________;	"Input 10032"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10033;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10033"_________;	"Input 10033"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10034;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10034"_________;	"Input 10034"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10035;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10035"_________;	"Input 10035"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10036;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10036"_________;	"Input 10036"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10037;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10037"_________;	"Input 10037"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10038;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10038"_________;	"Input 10038"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10039;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10039"_________;	"Input 10039"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10040;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10040"_________;	"Input 10040"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10041;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10041"_________;	"Input 10041"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10042;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10042"_________;	"Input 10042"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10043;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10043"_________;	"Input 10043"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10044;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10044"_________;	"Input 10044"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10045;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10045"_________;	"Input 10045"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10046;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10046"_________;	"Input 10046"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10047;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10047"_________;	"Input 10047"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10048;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10048"_________;	"Input 10048"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10049;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10049"_________;	"Input 10049"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10050;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10050"_________;	"Input 10050"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10051;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10051"_________;	"Input 10051"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10052;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10052"_________;	"Input 10052"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10053;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10053"_________;	"Input 10053"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10054;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10054"_________;	"Input 10054"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10055;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10055"_________;	"Input 10055"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10056;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10056"_________;	"Input 10056"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10057;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10057"_________;	"Input 10057"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10058;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10058"_________;	"Input 10058"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10059;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10059"_________;	"Input 10059"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10060;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10060"_________;	"Input 10060"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10061;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10061"_________;	"Input 10061"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10062;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10062"_________;	"Input 10062"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10063;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10063"_________;	"Input 10063"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10064;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10064"_________;	"Input 10064"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10065;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10065"_________;	"Input 10065"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10066;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10066"_________;	"Input 10066"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10067;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10067"_________;	"Input 10067"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10068;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10068"_________;	"Input 10068"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10069;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10069"_________;	"Input 10069"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10070;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10070"_________;	"Input 10070"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10071;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10071"_________;	"Input 10071"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10072;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10072"_________;	"Input 10072"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10073;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10073"_________;	"Input 10073"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10074;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10074"_________;	"Input 10074"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10075;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10075"_________;	"Input 10075"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10076;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10076"_________;	"Input 10076"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10077;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10077"_________;	"Input 10077"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10078;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10078"_________;	"Input 10078"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10079;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10079"_________;	"Input 10079"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10080;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10080"_________;	"Input 10080"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10081;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10081"_________;	"Input 10081"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10082;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10082"_________;	"Input 10082"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10083;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10083"_________;	"Input 10083"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10084;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10084"_________;	"Input 10084"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10085;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10085"_________;	"Input 10085"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10086;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10086"_________;	"Input 10086"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10087;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10087"_________;	"Input 10087"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10088;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10088"_________;	"Input 10088"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10089;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10089"_________;	"Input 10089"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10090;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10090"_________;	"Input 10090"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10091;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10091"_________;	"Input 10091"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10092;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10092"_________;	"Input 10092"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10093;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10093"_________;	"Input 10093"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10094;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10094"_________;	"Input 10094"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10095;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10095"_________;	"Input 10095"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10096;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10096"_________;	"Input 10096"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10097;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10097"_________;	"Input 10097"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10098;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10098"_________;	"Input 10098"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10099;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10099"_________;	"Input 10099"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10100;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10100"_________;	"Input 10100"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10101;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10101"_________;	"Input 10101"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10102;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10102"_________;	"Input 10102"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10103;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10103"_________;	"Input 10103"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10104;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10104"_________;	"Input 10104"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10105;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10105"_________;	"Input 10105"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10106;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10106"_________;	"Input 10106"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10107;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10107"_________;	"Input 10107"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10108;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10108"_________;	"Input 10108"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10109;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10109"_________;	"Input 10109"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10110;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10110"_________;	"Input 10110"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10111;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10111"_________;	"Input 10111"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10112;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10112"_________;	"Input 10112"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10113;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10113"_________;	"Input 10113"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10114;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10114"_________;	"Input 10114"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10115;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10115"_________;	"Input 10115"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10116;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10116"_________;	"Input 10116"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10117;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10117"_________;	"Input 10117"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10118;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10118"_________;	"Input 10118"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10119;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10119"_________;	"Input 10119"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10120;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10120"_________;	"Input 10120"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10121;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10121"_________;	"Input 10121"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10122;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10122"_________;	"Input 10122"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10123;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10123"_________;	"Input 10123"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10124;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10124"_________;	"Input 10124"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10125;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10125"_________;	"Input 10125"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10126;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10126"_________;	"Input 10126"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10127;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10127"_________;	"Input 10127"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10128;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10128"_________;	"Input 10128"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10129;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10129"_________;	"Input 10129"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10130;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10130"_________;	"Input 10130"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10131;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10131"_________;	"Input 10131"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10132;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10132"_________;	"Input 10132"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10133;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10133"_________;	"Input 10133"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10134;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10134"_________;	"Input 10134"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10135;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10135"_________;	"Input 10135"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10136;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10136"_________;	"Input 10136"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10137;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10137"_________;	"Input 10137"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10138;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10138"_________;	"Input 10138"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10139;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10139"_________;	"Input 10139"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10140;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10140"_________;	"Input 10140"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10141;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10141"_________;	"Input 10141"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10142;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10142"_________;	"Input 10142"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10143;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10143"_________;	"Input 10143"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10144;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10144"_________;	"Input 10144"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10145;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10145"_________;	"Input 10145"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10146;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10146"_________;	"Input 10146"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10147;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10147"_________;	"Input 10147"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
10148;	"ModbusStandard"__;	  "ALG-IN"_;	"IN10148"_________;	"Input 10148"_____________________;	1;	"AUS (0)"_________;	"EIN (1)"_________;	0
